Country,Website,Language(s)
Austria,burgerking.at,German
Belarus,burger-king.by,Belarusian
Belgium,burgerking.be,Dutch/French
Croatia,burgerking.hr,Croatian
Cyprus,burgerking.cy,English
Czech Republic,burgerking.cz,Czech/English
Denmark,burgerking.dk,Danish
Estonia,burgerking.ee,Estonian/English/Russian
Faroe Islands,see Denmark,see Denmark
Finnish,burgerking.fi,Finnish
France,burgerking.fr,French
Germany,burgerking.de,German
Hungary,burgerking.hu,Hungarian
Italy,burgerking.it,Italian
Latvia,burgerking.lv,Latvian/English/Russian
Lithuania,burgerking.lt,Lithuanian/English/Russian
Malta,burgerking.mt,English
Netherlands,burgerking.nl,Dutch
Norway,burgerking.no,Norwegian
Poland,burgerking.com.pl,Polish
Portugal,burgerking.pt,Portuguese/Spanish
Russia,burgerking.ru,Russian
Slovakia,burger-king.sk,Slovak
Spain,burgerking.es,Spanish/Portuguese
Sweden,burgerking.se,Swedish
Switzerland,burger-king.ch,German/French/Italian/English
Turkey,burgerking.com.tr,Turkish
United Kingdom,burgerking.co.uk,English
