Country,Website,Language(s)
Austria,dominos.at,German/English
Belarus,dominos.by,Russian/English
Belgium,dominos.be,Dutch/French/English
Bulgaria,dominos.bg,Bulgarian
Croatia,dominos.hr,Croatian/English
Cyprus,dominos.com.cy,Greek/English
Czech Republic,dominospizza.cz,Czech/English
Denmark,dominos.dk,Danish
France,dominos.fr,French
Germany,dominos.de,German
Greece,dominos.gr,Greece
Iceland,dominos.is,Icelandic/English
Ireland,dominos.ie,English
Italy,dominositalia.it,Italian/English
Kosovo,dominos-ks.com,Albanian/English
Luxembourg,dominos.lu,French/German/English
Macedonia,dominos.mk,Macedonian/English
Malta,dominos.mt,Macedonian/English
Northern Cyprus,dominospizza.Chinese
