Country,Website,Language(s)
Austria,mcdonalds.at,German
Azerbaijan,mcdonalds.az,Azerbaijani/Russian/English
Belgium,mcdonalds.be,Dutch/French/English
Belraus,mcdonalds.by,Belarusian/Russian/English
Bosnia and Herzegovina,mcdonalds.ba,Bosnian
Bulgaria,mcdonalds.bg,Bulgarian/English
Croatia,mcdonalds.hr,Croatian
Cyprus,mcdonalds.com.cy,English
Czech Republic,mcdonalds.cz,Czech
Denmark,mcdonalds.com/dk,Danish
Estonia,mcdonalds.ee,Estonian
Finland,mcdonalds.com/fi,Finnish
France,mcdonalds.fr,French
Georgia,mcdonalds.ge,Georgian/English
Germany,mcdonalds.com/de,German
Greece,mcdonalds.gr,Greek/English
Hungary,mcdonalds.hu,Hungarian
Iceland,https://web.archive.org/web/20040213165241/http://www.mcdonalds.is/,Icelandic
Ireland,mcdonalds.ie,English
Italy,mcdonalds.it,Italian
Kazakhstan,mcdonalds.kz,Kazakh/Russian
Latvia,mcdonalds.lv,Latvian
Lithuania,mcd.lt,Lithuanian
Malta,mcdonalds.com.mt,English
Moldova,mcdonalds.md,Romanian
Netherlands,mcdonalds.com/nl,Dutch
Norway,mcdonalds.com/no,Norwegian Bokmål
Poland,mcdonalds.pl,Polish
Portugal,mcdonalds.pt,Portuguese
Romania,mcdonalds.ro,Romanian
Russia,mcdonalds.ru,Russian
Serbia,mcdonalds.rs,Serbian
Slovakia,mcdonalds.sk,Slovak
Slovenia,mcdonalds.si,Slovenian
Spain,mcdonalds.es,Spanish
Sweden,mcdonalds.com/sv,Swedish
Switzerland,mcdonalds.com/ch,German/French/Italian
Turkey,mcdonalds.com.tr,Turkish
Ukraine,mcdonalds.com/ua,Ukrainian
United Kingdom,mcdonalds.com/uk,English
